,review_text,app_name,major_class,small_class,word_1,small_class_2,word_2,small_class_3,
54,"I use to really enjoy this app. Now there are so many problems with it. It is some what decent, but I rather just look at StubHub or Vivid for shows in town.",Bandsintown Concerts,Information Giving/Problem Discovery,App,"app,problems",,,,
55,"Good idea, poor execution. You can't set your radius for further than 150mi, get notifications for multiple locations, or search by date, so it's really only useful for checking what local bar bands are playing tonight - bands 'in town' isn't just a cute name. If you're the type to make a weekend trip to see a band you like, or live somewhere like the northeast corridor where taking a 150+ mile train ride to a show isn't unusual, it probably won't do what you want. Which is a shame, because it's a great app idea and an excellent interface.",Bandsintown Concerts,Information Giving,Feature or Functionality,set|get notifications,GUI,interface,,
56,"It cost a lot of money, dont install.",Bandsintown Concerts,Information Giving,Pricing,money,,,,
57,Literally broken. Just loads forever,Bandsintown Concerts,Problem Discovery,Feature or Functionality,"load,broken",,,,
58,Helps me keep track of bands i already like,Bandsintown Concerts,Information Giving,Feature or Functionality,track ,,,,
59,"*Awesome* As a music (live especially) lover... I need this app. Keeps me informed about acts, tours, pricing. Follow your favorite bands, venues,etc. Simply Awesome Thanks to the administration...",Bandsintown Concerts,Information Giving,Feature or Functionality, Follow your favorite bands,Contents,acts|tours|pricing,,
60,Too many notifications. When I try to turn off notifications "network error",Bandsintown Concerts,Information Giving/Problem Discovery,Feature or Functionality," notifications,network error",,,,
61,Doesn't load any events,Bandsintown Concerts,Problem Discovery,Feature or Functionality,load events,,,,
62,Continue on web should allow me to continue on web. I don't want this app. Not to mention you need an account to even see anything that's always available on PC,Bandsintown Concerts,Information Giving,App,app,,,,
63,"It was great, then the location tracking screwed up and it insists I'm 500 miles from where I live. Each time I delete the app data and cache and re-log in, it thinks I'm somewhere else. Today I've been to Lancashire and Devon, apparently. Such a shame",Bandsintown Concerts,Information Giving/Problem Discovery,Feature or Functionality, location tracking ,,,,
64,I dont live in Camberwell and it wont let me change location. Utter rubbish since last update Shame i cant give no stars,Bandsintown Concerts,Information Giving,Feature or Functionality,change  location,Updates/ Versions,update,,
65,how come i can't find this in my iphone?,Free Music,Information Seeking/other,App,,,,,
66,Easy to use and good song selection ?,Free Music,Information Giving,Contents,song selection,,,,
67,its the best??????????????,Free Music,Other,App,,,,,
68,it good not the best app,Free Music,Other,App,app,,,,
69,Love the music???????????????,Free Music,Other,Contents,music,,,,
70,I LOVE IT XDD ????????,Free Music,Other,App,,,,,
71,with app fosnt have the real band singing the song it is covered with someone who aent real singers,Free Music,Other,Contents, song,,,,
72,one of the b best,Free Music,Other,App,,,,,
73,Guys this app is aboustly AMAZING ??????????????,Free Music,Other,App,app amazing,,,,
74,it has lots of songs but so many ads,Free Music,Information Giving/Problem Discovery,Contents,lsots songs|ads,,,,
75,i like it but i give for stars *to many ads :(* so yeah ;-;,Free Music,Information Giving/Problem Discovery,Contents,ads,,,,
76,I love it it has great sound quality its free not any ads that ive seen... Its just an great app,Free Music,Information Giving,Contents,"ads,free,quality",,,,
77,"they dont even have the originals to many of the songs, not very good",Free Music,Information Giving/Improvement,Contents,"ads,originals songs",,,,
78,good app for vids or just to listen to music while animating,Free Music,Information Giving,Feature or Functionality,"listen to music,animating",,,,
79,this app is amazing.,Free Music,Other,App,"app,amazing",,,,
80,it is really cool when you are going on a jog,Free Music,Information Giving,App,cool,,,,
81,So cool when i play roblox i can listen to my own music,Free Music,Information Giving,Feature or Functionality,listen to my  music,,,,
82,this is a really good app even though it needs wifi or data its easy ??,Free Music,Information Giving,Resources,wifi,,,,
84,Its awesome I really like it I just love it! ?,Free Music,Other,App,like,,,,
85,Definitely the best music app ive come across this year! The only downfall it s that ot requires wifi but other than that i always find the song im looking for?,Free Music,Information Giving,Resources,wifi,,,,
86,please let us download songs!!Or male the app offline Pleaseeeeee,Free Music,Feature Request,Download,download,Improvement,"please,let",,
87,like it !!!! easy to use with a lot of great songs.,Free Music,Information Giving,Contents,song,app,easy use,,
88,i love to learn to music,Free Music,Other,Contents,music,,,,
89,cool app i love it,Free Music,Other,App,"app,love",,,,
90,It is not too bad but I would like to get just bets or,Free Music,Other,App,,,,,
91,lots of music that i love,Free Music,Information Giving,Contents,music,,,,
92,"its sorta good, i just wish that i can download music....maybe in the next update you have, can you make it download music please?",Free Music,Feature Request,Feature or Functionality,download music,Improvement,plaease,,
93,its little bit good but ill give 4 stars,Free Music,Other,App,,,,,
94,its awesome perfect job making this app ? but I love music but can you make it where you can play songs without wifi I dont have cellular data and I have to take a preschooler and his mom to places and the kid loves it when I play baby shark,Free Music,Feature Request,Resources,wifi,Feature or Functionality,paly songs,,
95,amazing ?????,Free Music,Other,App,amazing,,,,
96,its really useful and so awesome app i think all my favorite music is here?love it!!??,Free Music,Information Giving,Contents,music,,,,
97,It was great music ????I loved?? it,Free Music,Information Giving,App,love,,,,
98,"its free, what more to say. good quality aswell.",Free Music,Information Giving,Pricing,free,,,,
99,does it work with no Wi-Fi,Free Music,Information Seeking,Resources,wifi,Feature or Functionality,work,,
100,?????????????,Free Music,Other,App,,,,,
101,"I love this app its so easy to get around and its great, I know where everything is. I tried many other apps and all of them I didnt know where to go, but this one i do know where to go. I definitely recommend this music app.",Free Music,Information Giving,App,app,Feature or Functionality,get around,,
102,awsome app my experience with this app was great,Free Music,Other,App,"app,great",,,,
103,"This app is so good! It has so much selections! Country, pop, relaxing, anything! It even has a search bar so you can search for songs!",Free Music,Information Giving,GUI,bar,Contents,songs,,
104,im not a whole fan... but it works so im atleast gonna give it a 3.,Free Music,Other,App,,,,,
105,I love it but the problem is like when I put on a song it skips,Free Music,Problem Discovery,Feature or Functionality, put on,Feature or Functionality,"problem,skip",,
106,they have even the hardest-to-find songs,Free Music,Information Giving/Problem Discovery,"Contents/Feature or
Functionality",hard find songs,,,,
107,moonlight songs are the best,Free Music,Information Giving,Contents,moonlight songs,,,,
108,because the music does not work when your wifi is off so i give this a ?.,Free Music,Information Giving,Resources,wifi,Feature or Functionality,work,,
109,awesome any song you want,Free Music,Information Giving,Contents,song,,,,
110,it's great and free,Free Music,Information Giving,Pricing,free,app,great,,
111,it has my type of songs,Free Music,Information Giving,Contents,song,,,,
112,I might link my tune from barking,Free Music,Information Giving,Feature or Functionality,link,,,,
113,I love it it dose'nt need wifi or internt,Free Music,Feature Request,Resources,"wifi,internet",,,,
114,"Amazing, creator of this app, thank you. free music I can listen to at any time. this really helps me out. BROTHERS IN ARMS THEY WILL RUN- sorry",Free Music,Information Giving,Pricing,free,Feature or Functionality,listen music,,
115,easy to get what i was looking for n store..,Free Music,Information Giving,Feature or Functionality,get  ,,,,
116,its ok just need more original songs than those sang by other people,Free Music,Feature Request,Contents,song,Improvement,"need,original songs",,
117,"free app, very good, still discovering it",Free Music,Information Giving,Pricing,free,,,,
118,i love the music.,Free Music,Other,App,love,,,,
119,free nice and free.,Free Music,Information Giving,Pricing,free,,,,
120,how do u turn off the music,Free Music,Information Seeking,Feature or Functionality,turn off music,,,,
121,"Its a Wonderful music player! It has all genres, songs, specifications and etc. Definitely 5 star deserving app!?",Free Music,Information Giving,Contents,songs,Feature or Functionality,music palyer,,
122,i love this is better than Spotify and Pandora mixed to gether (and other music apps),Free Music,Information Giving,App,,,,,
123,cool. . i loved it,Free Music,Other,App,cool,,,,
124,"spent about forty five minutes adding songs to ""my playlist"", a playlist i created quickly when i first downloaded the app to quickly add music as i thought of it. After listing countless songs and bands, i check to review my list and find that only four tracks of the hundred i saved had copied over. I guess if you decide to download this app, check every so often to make sure your tracks are caching over.",Free Music,Information Giving,Feature or Functionality,"tracks,add songs",,,,
125,This app is amazing. I have a few opinions though. 1. I think should have a more personalized name than free music. 2. some songs dont have their name it just has random letters and numbers like delicate by taylor swift. 3. some songs dont have the artists name under them. Thats all and i will continue to use your app. It works offline it still plays when you close the app and play other games.,Free Music,Feature Request,Pricing,"free ,works offline",Improvement,should have,,
126,it keeps on freezing up on me,Free Music,Problem Discovery,App, freezing ,,,,
127,i love i just love it,Free Music,Other,App/other,love,,,,
128,can't go wrong with an old app.,Free Music,Information Giving,App,app,,,,
129,i need pay for ever mouth,Free Music,Information Giving,Pricing,pay for,,,,
130,"Love the music selection. Light app, loads quickly. Offline listening feature works well and handy for limiting your data usage",Spotify - Music and Podcasts,Information Giving,Feature or Functionality," listening feature,music selection,light,loads",,,,
131,"I love spotify, but I can't listen to one single song or playlist. I end up with Justin Beiber instead of Hamilton. If I try to reshuffle the playlist and play a song off of it, I just pause it. Help please, it's so annoying.",Spotify - Music and Podcasts,Information Seeking,Feature or Functionality, play a song,,,,
132,It's a beautiful experience!,Spotify - Music and Podcasts,Other,App,experience!,,,,
133,Best money I spend every month! Spotify's algorithms are the best in the current tech world.,Spotify - Music and Podcasts,Information Giving,Pricing,money,,,,
134,overall is good variety of selection good sound/audio,Spotify - Music and Podcasts,Information Giving,Contents,selection audio,,,,
135,When i walk to school everyday it helps me get lost in the music,Spotify - Music and Podcasts,Information Giving,Contents,music,,,,
136,good!!!!,Spotify - Music and Podcasts,Other,App,,,,,
137,"Can you make so you can play songs on damand, itunes is better than this and i hate apple, etheir make so you can play songs on damand or get rid of spodify primeium",Spotify - Music and Podcasts,Feature Request,Feature or Functionality,"play songs, damand",Improvement,can you,,
138,I wish I could listen to music offline it bothers me but I still like it,Spotify - Music and Podcasts,Feature Request,Feature or Functionality,listen to music offline,,,,
139,you re welcome thank you,Spotify - Music and Podcasts,Other,App,,,,,
140,The best music app ever made!!!!?,Spotify - Music and Podcasts,Other,App,app,,,,
141,still 5 star although some songs by some artists are not present.,Spotify - Music and Podcasts,Information Giving/Feature Request,Contents,songs,Feature or Functionality,present,,
142,great app!!!!,Spotify - Music and Podcasts,Other,App,,,,,
143,Awesome musics and useful app,Spotify - Music and Podcasts,Other,App,app,,,,
144,i don't like it i love it,Spotify - Music and Podcasts,Other,App,,,,,
145,disaat akun premiumnya habis apakah musik yant di download akan hilang?,Spotify - Music and Podcasts,Other,,,,,,
146,spotify has all the muzik! I'm very impressed,Spotify - Music and Podcasts,Other,App,,,,,
147,i had a billing issue and i got it fixed and paid my premium bill but now my songs wont play all the way through i have tried every setting and cant get it to work right now. it used to be a pretty good app but if this issue isnt fixed soon im canceling and uninstalling,Spotify - Music and Podcasts,Problem Discovery,Pricing,bill,Feature or Functionality,play all the way,,
148,"love spotify, highly recommend",Spotify - Music and Podcasts,Other,App,,,,,
149,"Latest songs, clear audio",Spotify - Music and Podcasts,Information Giving,Contents,"song,audio",,,,
150,"the app is very good, thanks spotify",Spotify - Music and Podcasts,Other,App,good,,,,
151,good site for music I listen to and songs and bands they recommend.,Spotify - Music and Podcasts,Information Giving,Feature or Functionality,listen to,Contents,"site,songs,bands",,
152,"Just a great music player, where you can find every piece of music.",Spotify - Music and Podcasts,Information Giving,Contents,music,Feature or Functionality,music palyer,,
153,Very good but a massive problem I'm having is that I play a few songs on my playlist then an ad comes on telling me to get a membership then a song that's not on my playlist comes on randomly even though I have autoplay off and over 12 songs on it. And there's no way you can skip unless you have premium so now I have to listen to random songs that aren't even on my playlist. Also I've added songs to my playlist and they don't show up,Spotify - Music and Podcasts,Problem Discovery,Feature or Functionality,play  ,app,problem,,
154,it is amazing!!!!,Spotify - Music and Podcasts,Other,App,amazing,,,,
155,spotify is the no. 1 woman in my life ??,Spotify - Music and Podcasts,Other,App,,,,,
156,"Superior to Pandora in every way, especially the free version!",Spotify - Music and Podcasts,Information Giving,Pricing,free,,,,
157,"great app, wish had more options to configure, especially display.",Spotify - Music and Podcasts,Feature Request,GUI,display,Improvement,"wish,options,configure",,
158,"its good and stuff but i hate the ads. i guess they have to make their money somehow but jeez. the play the same ad over and over again. it goes like, ""thanks for listening to spotify, really! you could have spun a record, you could have listened to a tape, or you could have listened to an eight track tape, if you knew what an eight track tape looked like."" i hate that ad ?",Spotify - Music and Podcasts,Information Giving,Contents,ads,,,,
159,its easy but i dont know how to download the music offline.,Spotify - Music and Podcasts,Information Seeking,Download,download,Feature or Functionality,music offline,,
160,It's a great app you make your own playlist for free and listen to only the music you put on there and much more as much as you want,Spotify - Music and Podcasts,Information Giving,Pricing,free,Feature or Functionality,"put on,make playlist",,
161,Best music streaming ever!!,Spotify - Music and Podcasts,Other,App,,,,,
162,Awesome and very useful easy downloading.. I really enjoyed it,Spotify - Music and Podcasts,Information Giving,Download,download,,,,
163,why call it "shuffle play" when it wont actually shuffle the songs,Spotify - Music and Podcasts,Information Seeking,Feature or Functionality,shuffle paly,,,,
164,great app !!! Pandora who!!!,Spotify - Music and Podcasts,Other,App,app,,,,
165,bought premium and its glitchy af... UPgrading to free-ad based spotify.,Spotify - Music and Podcasts,Information Giving,Pricing,bought,,,,
166,I love it! You can find any song and any artist!,Spotify - Music and Podcasts,Information Giving,Contents,"song,artist",,,,
167,i find this app much easier and more affordable than previous apps such as ITunes.,Spotify - Music and Podcasts,Information Giving,App,"app,easier,affordable",,,,
168,I love this app a lot,Spotify - Music and Podcasts,Other,App,app,,,,
169,"adds arnt in your face, playlists or fully cuatomizable. i lobe this app, i use it with my ps4.",Spotify - Music and Podcasts,Feature Request,GUI,"adds,face|playlist",,,,
170,was going to give one star but then I remembered the atrocity of YouTube music and decided I should be thankful,Spotify - Music and Podcasts,Information Giving,App,,,,,
171,I love this app even when you're phone of you can hook up to eny to ND of WiFi,Spotify - Music and Podcasts,Information Giving,Resources,wifi,Feature or Functionality,hook up,,
172,I can listen to all of my music when i need to ...,Spotify - Music and Podcasts,Information Giving,Feature or Functionality,listen,,,,
173,Die Suche dauert manchmal echt ewig,Spotify - Music and Podcasts,,,,,,,
174,it's ok. but they add random music they think you'll like and barely even play your music.to many commercials. and always telling you to try spotify premium,Spotify - Music and Podcasts,Information Giving,Feature or Functionality,"play,add random music",,,,
175,my favorite app!!!,Spotify - Music and Podcasts,Other,App,app,,,,
176,The music isnt as available as it used to be,Spotify - Music and Podcasts,Information Giving,App,,,,,
177,"it's great stuff, the family plan works well I just wish I could get the remixes of songs.",Spotify - Music and Podcasts,Information Giving/Feature Request,Contents,songs,Feature or Functionality,wish get remixes songs,,
178,"a music lover must have. huge selection, not quite everything but just about. easy to find new music. you can make it simple and you can rely on spotify to play music or have 100% control over what plays and everything inbetween. create as many unlimited playlists as you want and follow friends to check their playlists.",Spotify - Music and Podcasts,Information Giving,Feature or Functionality,"selection,find|play|create,control",,,,
179,"Great, free platform for listening to music with some ads. can upgrade to premium account to lose the advertisements.",Spotify - Music and Podcasts,Information Giving,Pricing,free,,,,
180,Some songs wont even play now that used to play ..,Spotify - Music and Podcasts,Information Giving,Feature or Functionality,play,,,,
181,Still the best music source in what is now a very crowded marketplace.,Spotify - Music and Podcasts,Information Giving,Contents,"music,ads",,,,
182,this is the best app for music!! it creates 6 personal playlists for you based on the music you listen to on a daily basis and it creates 1 new playlists every Monday filled with new songs you might like :') I never spend money on app but this is the only exception. idk what I would do without spotify premium.,Spotify - Music and Podcasts,Information Giving,Feature or Functionality,"listen,creat playlist",Pricing,money,,
183,rlly dumb.. i have to pay to listen to music i want,Spotify - Music and Podcasts,Information Giving,Pricing,pay to,,,,
184,So much better than the previous service I was using. Love it love it love it.,Spotify - Music and Podcasts,Other,App,,,,,
185,awesome??? I love it I get to listen to my favorite songs all day. ?,Spotify - Music and Podcasts,Information Giving,Feature or Functionality,listen songs,,,,
186,"great app,i love that you can download all types of music.",Spotify - Music and Podcasts,Information Giving,Feature or Functionality,download music,,,,
187,really good app but has way to many bugs like deleting all my music 3 times in about 4 mounths spam singing out ramdomly and not letting me sing back in,Spotify - Music and Podcasts,Problem Discovery,Feature or Functionality,"bug,deleting",,,,
188,keeps crashing towards the end of songs. only started after i got premium so feeling a bit scammed tbh,Spotify - Music and Podcasts,Problem Discovery,App,crashing,,,,
189,Best music streaming app out there. 12/10,Spotify - Music and Podcasts,Other,App,app,,,,
190,"Best streaming service, app needs to mature somewhat. Browsing music is not as intuitive as it should be. Love being able to send my mudic to different devices in the house.",Spotify - Music and Podcasts,Information Giving/Feature Request,Feature or Functionality,browsing ,Feature or Functionality,send music to devices,,
191,I tried to play ONE song and I couldn't. I'm going to get rid of this because it's just wasting my time. it's works on computer not the app.,Spotify - Music and Podcasts,Information Giving,Feature or Functionality,play,,,,
192,"There is a lot Music from K-pop, I- pop, Etc",Spotify - Music and Podcasts,Information Giving,Contents,music from,,,,
193,love making and having custom designed playlists,Spotify - Music and Podcasts,Information Giving,GUI,playlist,,,,
194,great overall app play music on any device and anytime!,Spotify - Music and Podcasts,Other,Model,device,Feature or Functionality,play music,,
195,"bloated and unresponsive, constant ads for their premium service in an app you already have to pay for, not to mention regular ads. it's really gross and i regret ever giving these crooks my money.",Ultimate Guitar: Chords & Tabs,Information Giving,Pricing,pay for,Contents,adds,,
196,"Love this app! Can play so many songs do easily. Honestly, the best part of my day is music and this app makes it so simple to access so many more songs for free. Only one complaint, there are ads in the middle of the songs and this makes it kind of hard to keep the music going if you have you scroll past an ad.",Ultimate Guitar: Chords & Tabs,Information Giving,Feature or Functionality,play,,,,
197,the app is very user friendly and lots of song choices. i also enjoy the autoscroll option. ive been using your website for i guess more than 10 years now and im glad you created this app. thank you ultimate-guitar i appreciate all your efforts.,Ultimate Guitar: Chords & Tabs,Information Giving,Contents,"songs,ads",Pricing,free,,
198,works well enough for the most part tho hard to print off a suitable hardcopy somr,Ultimate Guitar: Chords & Tabs,Information Giving,Feature or Functionality,print off,,,,
199,"Great app. Very convenient, and easy to use.",Ultimate Guitar: Chords & Tabs,Other,App,"app,easy use",,,,
200,A must have for experienced and aspairing guirists.,Ultimate Guitar: Chords & Tabs,Information Giving,Contents,guitarist,,,,
201,"great, very clear chords and tab, although you have to pay if you want the really good music",Ultimate Guitar: Chords & Tabs,Information Giving,Pricing,pay,Feature or Functionality,"clear chords,tab",,
202,great for beginners and country song teacher,Ultimate Guitar: Chords & Tabs,Information Giving,Contents,song,app,country song teacher,,
203,chords are about 85% accurate and an easy fix for anyone who has a good ear.,Ultimate Guitar: Chords & Tabs,Information Giving,Contents,chords ,Feature or Functionality,fix,,
204,"I've learned alot of the songs I know with this app, it's helped me spot in my guitar learning journey. Thanks i just wanted to say thanks again i continue to progress in my journey and i owe alot of it to the U.G team and community this app rocks and now i rock . much love your devoted fan and lifetime member.",Ultimate Guitar: Chords & Tabs,Information Giving,Contents,guitar,,,,
205,So glad someone finally made an app so that we could watch endless adds.,Ultimate Guitar: Chords & Tabs,Information Giving,Feature or Functionality,"watch,add",,,,
206,"great app, def worth the pro if you playa few times a month. i would like to see added functionality for short snippet/shot recording with built in slicer for easy parsing of long sessions",Ultimate Guitar: Chords & Tabs,Information Giving/Feature Request,Feature or Functionality,parsing long sessions,,,,
207,The music sounds nothing like the original song -.-,Ultimate Guitar: Chords & Tabs,Information Giving,Contents,song,,,,
208,Just amazing for learning new songs and it's not just for guitar for instance I use it for my ukulele also,Ultimate Guitar: Chords & Tabs,Information Giving,Contents,guitar,,,,
209,Obrigadu wain from Timor Leste,Ultimate Guitar: Chords & Tabs,,,,,,,
