,review_text,app_name,major_class,small_class_1,key_word_1,small_class_2,key_word_2,,
47,nobody ever showed up got charged 5$ both times i tryd .,Uber,Information Giving,Contents ,charged 5$,,,,
48,had ordered for 2chicken tandoori Biryani and 1special boneless chicken Biryani. received 2 tandoori chicken Biryani not cooked well and 1 boneless chicken Biryani without pieces. now how can I start trusting all your restaurant as i dont have better work to call and fight,Uber,Problem Discovery,Contents ,restaurant,,,,
49,"app is complete trash, always taking my driver to another block far from where im at plus uber cash isnt working.",Uber,Problem Discovery,App ,app,Feature or Funtionality,cash isnt working,,
50,i use uber nearly every day seems lately theyve upped the price drastically what was apways a 8-9 dollar commute is now no less the $16???! becoming a rip off. use lift or something else,Uber,Information Giving,Pricing,price,,,,
51,"I can't login, it keeps saying ""something went wrong, try again later""",Uber,Problem Discovery,Feature or Funtionality,login,,,,
52,I can't select uber rikshaw option wht is uber go is automated?,Uber,Problem Discovery,Feature or Funtionality,rikshaw option,,,,
53,"I use uber A LOT & I USED TO love it!Lately I have noticed that the arrival time is inaccurate it'll say 3min and will stay that way for 6 or more min. I usually use UberX, but sometimes do pool. the new upgrade for pool is HORRIBLE. I hate that you can't get picked up directly anymore but have to walk (if we wanted to walk we would be taking the bus!) And if you turn of walking the price is almost the same as uberX. And I feel like uber x prices have increased. BRING THE OLD VERSION BACK!!!!!!!",Uber,Problem Discovery,Feature or Funtionality,time,Updates/Versions, upgrade,,
54,"because i can't open this app, not left the option (I'm not a robot). don't stop to see pictures and ain't next, the principal, that's ask a uber drive.",Uber,Problem Discovery,Feature or Funtionality,open,,,,
55,bakwaas app dont waste your mobile storage on this app,Uber,Feature Request ,Resources ,storage,,,,
56,"most disgusting app ever, not a user friendly app even for techies too.",Uber,Information Giving,App ,app,GUI,user friendly,,
57,my driver forgot to end the trip and I got charged $136 for a 10 minute ride. to make it better no one from Uber has responded to my help messages,Uber,Information Giving,Contents ,charged,,,,
58,I did not go to king of Prussia mall. I went from 116 Eagle stream.drive to.valley forge casino end of trip please correct.,Uber,Other,Contents ,drive,,,,
59,Not a good app useless... too many issues in app..,Uber,Information Giving,App ,app,,,,
60,"app doesnt work, website doesnt work, and customer support doesnt work. account has been disabled for a month without any progress from customer support other then. tell us how this is happening. oh did you try loging in? it doesnt work? oh.",Uber,Information Seeking,Feature or Funtionality,doesnt work,,,,
61,i try to order uber for my friend different location isn't working also i try to canceled didn't give you option unless charge you,Uber,Information Giving,Feature or Funtionality, order,,,,
62,"they deactivate driver accounts because of some small things and they don't think that this driver need to this job and should pay his bills... for this company just passenger is important because they pay money to company... a lot of app issues, app is not safe for driver and make him confused. app design and functionality is like student projects. they are not good humans. i wish them to lose their Business and go out of business.",Uber,Information Giving,App ,app,Security ,safe,,
63,it won't let me past my password to start working it says something went wrong and it won't let me move forward!!,Uber,Problem Discovery,Feature or Funtionality,past password,,,,
64,"Horrible service they are providing...... Drivers are allowed to cancel the trip as per their needs..... We have so emple time to try finding rides again and again..... At the once we get a ride, the smart driver tries to dodge us by saying in the middle of the trip that vehicle cannot be used further..... Cheaters in short",Uber,Information Giving,Feature or Funtionality,service,,,,
65,Map quality sucks. You have to buy maps because this app cannot use free Google maps but charges you for the maps which Google offers for free.,BackCountry Navigator TOPO GPS PRO,Information Giving,Feature or Funtionality,Map,,,,
66,"everytime I stop the map flips 180¡ã tried every setting and cannot find a solution, once this is fixed 5 star rating from this guy. This is with the pro version",BackCountry Navigator TOPO GPS PRO,Problem Discovery,Feature or Funtionality, map flips,,,,
67,program works great and great tech support aswell,BackCountry Navigator TOPO GPS PRO,Other,App ,program,,,,
68,this app would be perfect if it had tizen / galaxy watch functionality I know it used to for android wear . shame,BackCountry Navigator TOPO GPS PRO,Information Giving,App ,app,Feature or Funtionality,watch functionality,,
69,"This app saved my life! I was at 2400m on the mountains, it was very very foggy, the path was not clearly marked, it was freezing and getting dark. But I followed the route showed on the map (which was very very accurate) and in the end I reached the hut. Fully recommend it, and never go on mountains without such an app or other gps.",BackCountry Navigator TOPO GPS PRO,Information Giving,App ,app,Feature or Funtionality,map accurate,,
70,"I like how it works, good map integration for planning and if you pre dl the tiles, fine for off the grid hiking.   However, the app keeps turning itself on to probably communicate something with 'home'  and draining my phone battery so I uninstalled it. too bad.",BackCountry Navigator TOPO GPS PRO,Feature Request ,Updates/Versions,turning,Resources ,draining battery ,,
71,Dirtbikers will love this app I use it to record my rides and it works amazing!!! Dont leave home without it. It does it all!!!,BackCountry Navigator TOPO GPS PRO,Information Giving,App ,app,Contents ,record,,
72,Best navigation for ATV dirtbike riders. Exactly what I needed. Finally a company to get it right. All the tracks and way points display with names if needed. Has a bunch of different icons. I use ble green red diamond for difficulty reading. Tracks never glitch and zigzag. Always perfect!!!,BackCountry Navigator TOPO GPS PRO,Information Giving,Contents ,icons,,,,
73,"Great for backpacking! No longer need to buy a Garmin or whatever. I put my phone in airplane mode, turn on GPS when needed and bring a backup battery. Lasts me several days of backpacking! Amazing!!!",BackCountry Navigator TOPO GPS PRO,Information Giving,App ,Amazing,,,,
74,"Only been using it for about a month. Still getting used to where to find features. There are a fair amount of maps available online and downloading sections for off line viewing is pretty good once you get used to it.  I have found that it's easy to get lost around the map center if you are viewing a section that is not immediately in your area.  Trying to stay zoomed to the right section can be tricky.  I do wish there was a way to find GPX files easily in an organized fashion as well as to easily upload GPX files to a share site that I create.  If there was an easy way to crowd source GPX files and share with each other, that would make this a 5 star app. I know the developer is working on a new app but I'm not a fan of subscription models, I've already got enough people reaching into my pocket on a monthly or yearly basis, I don't need more. So far, it has been pretty good as a tool for taking off roading though.",BackCountry Navigator TOPO GPS PRO,Feature Request ,Improvement,easily upload GPX files,,,,
75,Depth of settings is why ive been a die hard BCN user. I love the software. I use onx during the hunting season. Land ownership data is key.,BackCountry Navigator TOPO GPS PRO,Information Giving,App ,software,,,,
76,"I first tried BCN when I was climbing an obscure pinnacle in California that is unofficially known as ¡°Cartago Peak.¡±  Despite having almost no idea how to use BCN or the borrowed phone, I managed to find the tricky route to the summit AND the way back to my car.  I was sold on BCN.  I bought my first smartphone and I¡¯ve been using BCN for all my mountaineering trips ever since.  I create a .GPX file with my route and important waypoints using CalTopo.  Then I load that file into the phone and import it into BCN.  I download CalTopo maps before leaving, and use BCN to help navigate in the wilderness.  I drop a few breadcrumbs along the way to make sure I can find the way back to my camp or my car.  After 30+ years using a map and compass, BCN is pretty intuitive.  It¡¯s like a map, only MUCH better.  The GPS shows me exactly where I am on the map.  It easily shows the distance and heading to my destination.  I can enlarge the map enough that I don¡¯t need reading glasses.  It takes a bit of practice to get the hang of it, but it¡¯s a powerful navigation tool, and it just works.  I haven¡¯t had any problems with it.  I love this app.  Highly recommended.",BackCountry Navigator TOPO GPS PRO,Information Giving,Contents ,BCN,,,,
77,I use this app for tracking cycling training and participating in long distance events.,BackCountry Navigator TOPO GPS PRO,Information Giving,App ,app,Contents ,for tracking,,
78,"When this app works it is better than Gaia, but the customer support is pathetic. An update from the past few months broke something and now the app spontaneously stops recording mid track and the breadcrumbs disappear. This happens on two devices in BCNAV but not on Gaia, right when a device is awoken. After a cryptic initial response tech support has been incommunicado for weeks. I am switching to Gaia, despite it being inferior for the moment. It is a pity because the app was worth an annual subscription of a few bucks to me. Instead of realizing a potential revenue stream now they get a one star review.",BackCountry Navigator TOPO GPS PRO,Information Giving,Updates/Versions,update,,,,
79,it puts the world to your feet!,BackCountry Navigator TOPO GPS PRO,Other ,App ,it,,,,
80,"Used to work ok, but now has major issues with greyed out tiles not loading. This is across multiple independant map sources, the exact same sources work perfectly with other map apps: so it's not a case of the map source having issues, or connectivity or storage, neither is it a temporary issue - once an area is greyed out, no amount of future revisits will load the tiles. It's suspicious how just when the developer is moving to a new and expensive monthly subscription model, the original app (one time fee) starts to fail and become buggy.",BackCountry Navigator TOPO GPS PRO,Information Giving,Feature or Funtionality,greyed loading,Updates/Versions,moving new,,
81,Since UK Atlas went down. Have been searching for a decent affordable mapping app. This is it! Offline maps downloadable with pro which is recommended. Set maps to Bing for UK OS.,BackCountry Navigator TOPO GPS PRO,Information Giving,App ,app,Contents ,Offline maps,,
82,"I Liked the demo app so I paid for the Pro app. It worked great for a while but now out of the blue it stopped importing tracks. I've tried everything I can think of and everything I could find on line, but still can't import tracks on the Samsung Tab E that I use in my Jeep. It will work on my other devices but not the one I need it on. I tired to contact Crittermaps, but never got an answer. So it looks like I'm going to have to find a different app.",BackCountry Navigator TOPO GPS PRO,Problem Discovery ,Feature or Funtionality, importing tracks,,,,
83,"UPDATE I now have a Nexus 5x. The GPS turn-on is usually immediate, and battery life is extended considerably. AND split-screen enables a direct match between topo and Google maps (which often doesn't show things that are on the topo map), so I can use road navigation to get to my dropped pin. THIS IS AN OUTSTANDING APP.",BackCountry Navigator TOPO GPS PRO,Information Giving,Model ,Nexus 5x,Resources ,battery life,,
84,This is one of the best apps on my phone. The OS map access for the UK and the app software puts it at the top. Download- you won't regret the decision.,BackCountry Navigator TOPO GPS PRO,Information Giving,App ,apps,Model ,The OS map,,
85,"Can load multiple map sources and track excursions, plot waypoints, download sections for offline access, and export to Google maps or GIS. Been using this for years and haven't found anything better.",BackCountry Navigator TOPO GPS PRO,Information Giving,Feature or Funtionality, load,,,,
86,Constantly a superior tool.,BackCountry Navigator TOPO GPS PRO,Other,App ,tool,,,,
87,"When I ride dirt bikes in the desert there is no phone or data service, so I use a Garmin GPS to navigate. However, I use this app to track my routes way points and tracks. I have it on a LG Stylo phone that I throw in my backpack. The phone still picks up the GPS satalites through the backpack material and it is far easier to record information than my Garmin. A cool feature that it has is when you mark a way point you can take a picture of the way point and the app accosiates the picture with the way point",BackCountry Navigator TOPO GPS PRO,Information Giving,Feature or Funtionality,accosiates the picture,,,,
88,"Spend a small amount of time getting to know this app and it will be ENORMOUSLY useful. It works great offline, no cell service needed; you have to choose areas to download onto your device before you go out and use it. You'll also need to turn on your gps antenna (wait until you get there to save power) and you can set the behavior of how often it determines your location to conserve even more battery power if desired.   I find this FAR more useful than the comparatively low-tech handheld gps devices on the market because my smartphone can process all that data way faster than the old chips using tiny amounts of memory in those traditional handheld gps devices. I can get all kinds of different topo maps, overlay boundary data, private property, etc. Very valuable tool for hunting and hiking. I also recommend bringing an extra battery or a power pack for your phone since using the gps antenna constantly will drain your battery.",BackCountry Navigator TOPO GPS PRO,Information Giving,Resources ,battery,,,,
89,"Any maps downloaded will not load without service I think this app is a gimmick really, and of course I downloaded them in advance you Muppet!",BackCountry Navigator TOPO GPS PRO,Information Giving,Contents ,service,,,,
90,Confusing interface and instructions. Tried 3 times to read and use without success. Not for average GPS user.,BackCountry Navigator TOPO GPS PRO,Information Giving,GUI,interface,,,,
91,"Save your money. Unless you have high speed internet everywhere you go including the Deep Backwoods, this is useless. A simple download of a 10 square mile area took 45 minutes to get to 20% and I finally gave up. Going back to my Garmin Rino",BackCountry Navigator TOPO GPS PRO,Information Giving,Download,download,,,,
92,Only thing missing is plotting routes ahead of time. Beats my old National Geographic Topo in every other way!,BackCountry Navigator TOPO GPS PRO,Feature Request ,Feature or Funtionality,plotting routes,,,,
93,Used app while riding the Washington BDR. Worked great to follow the WaBDR downloaded tracks and the BCN downloaded topo maps without cell service.,BackCountry Navigator TOPO GPS PRO,Information Giving,Download,downloaded,,,,
94,Love it! Best GPS I have tried.Works off line.,BackCountry Navigator TOPO GPS PRO,Other,App ,it,,,,
95,This app used to be great but now it's not user friendly at all.,BackCountry Navigator TOPO GPS PRO,Information Giving,Updates/Versions,used to,GUI,user friendly,,
96,"Amazing app, we started with the demo and almost immediately bought the full version. Over a year of heavy use every hike and I have never found a problem. The only thing I wish they had was a sharing option!",BackCountry Navigator TOPO GPS PRO,Feature Request ,Feature or Funtionality,sharing option,,,,
97,Very disapointed!!!! Thought this app had great potential so I paid for a premium account but the only map that will load is the free default map.,BackCountry Navigator TOPO GPS PRO,Information Giving ,App ,app,Contents ,premium account,,
98,Excellent app for hiking and cycling.,BackCountry Navigator TOPO GPS PRO,Information Giving ,App ,app,,,,
99,Best ?10.99 you'll ever spend,BackCountry Navigator TOPO GPS PRO,Other,Pricing,spend ,,,,
100,It's okay but the price is a little steep. Had to pay an extra 9.99 for BLM land in Colorado. time will tell if this purchase was worth it but so far I'm not really impressed.,BackCountry Navigator TOPO GPS PRO,Information Giving ,Pricing,price,,,,
101,"The app worked for about a year. Recently the app randomly deleted all of my waypoints. I talked to customer service about it and they said it wasn't a ""known bug"" and they left it at that and started ignoring me. The app then proceeded to completely die on me and make my phone almost unusable until I ran it in safe mode just to delete this app. I recently tried a reinstall and it's just as broken. When using an SD card the app is impossible to get to load both your saved maps and waypoints all from the same area. Recovering files for the app is NOT user friendly. The overall layout of the app is beyond cluttered and a lot of options could be minimized. I wish I could get a refund for their now defective app but as I said, their customer service started ignoring me. Horrible customer service.",BackCountry Navigator TOPO GPS PRO,Problem Discovery,Improvement,bug,,,,
102,"I have been using this app a couple of years now and it works great when I'm out in the wilderness with my horses. However, I do have a suggestion! I wish this app would notify me by sound when I reach a way-point on a trip. I cannot always be looking at my phone to see if we are there yet or not. Otherwise it's a great app!!",BackCountry Navigator TOPO GPS PRO,Feature Request ,App ,app,Improvement,notify,,
103,Couldn't get it to create a waypoint while on a trip. Sharing trip databases between devices by backing up and raising doesn't work consistently :-(,BackCountry Navigator TOPO GPS PRO,Problem Discovery,Improvement,waypoint,,,,
104,At least for hunting purposes knowing the year is more important than the day and month. Having a field that would show the date metadata would even be better than having it in the name field. You can tell there is not any hunters in the design team. Still the best program out there there.,BackCountry Navigator TOPO GPS PRO,Information Giving ,Improvement,year,,,,
105,"Works well on my Samsung A7. Great not having to rely on data link. The new zoom button is great. The new NZTM2000 feature is great. Thank you! Having the tracks list come up on the screen is a handy feature, makes it easier to go back to old tracks. Awesome",BackCountry Navigator TOPO GPS PRO,Information Giving ,Model ,Samsung A7,Feature or Funtionality,NZTM2000 feature,,
106,I have been useing this app for 3 years and love it dont even use my gps anymore...only problem i ever had was when i got a knew cell but 2 emails to critter maps and they helped me figure it out . ..ps.be sure to download enough tiles with internet before you leave,BackCountry Navigator TOPO GPS PRO,Problem Discovery,Download,download,,,,
107,Can't edit prior track,BackCountry Navigator TOPO GPS PRO,Problem Discovery,Improvement,edit prior track,,,,
108,"Love this app, until the most recent update. Getting ready for a week trip, but two nights ago this app updated and my phone began to reboot every few minutes. It  stayed on long enough to uninstall recently updated apps -- once I uninstalled this one, the reboots stopped for the next 24 hours. I tried again today, and while the reboots are less frequent, they're still happening! Please fix. Moto X4 with Android 8.1",BackCountry Navigator TOPO GPS PRO,Problem Discovery,Updates/Versions,updated,Model ,Moto X4 with Android 8.1,,
109,Fantastic. Using it in the uk offline with OS maps. Wont do without it as I walk a lot at night.....feel a lot safer with this app. Like anything it takes a bit of learning but is well worth the time.,BackCountry Navigator TOPO GPS PRO,Information Giving ,Model ,OS maps,,,,
110,Went backpacking last year from the western sierra to the eastern sierra mountain range. I used this app the whole time and probably gor nw out of a lot of trouble. Downloaded it nearly 9 years ago for all my backpacking trips.,BackCountry Navigator TOPO GPS PRO,Other,App ,app,,,,
111,"I've had this app for two years now and it is still the most useful app I 
have on my phone. I have used it to make important decisions while 
backpacking. To mark hunting locations and make sure I havent wandered off 
hunting land. I have used it at work to help mark hiking/mountain biking 
trails for updating maps, locating lost hikers, and other odds and ends 
such as marking things that need repair. Everyone I show this app to is 
impressed by it. Its the real deal.",BackCountry Navigator TOPO GPS PRO,Information Giving ,App ,app,Contents ,hunting locations,,
112,"I have been using BN for a couple years now and I love it. Perfect for what 
I need. I download maps before heading out, and the app offers good GPS 
positioning and many options for tracking and pinning your movements. Best 
hiking navigation app I've tried.",BackCountry Navigator TOPO GPS PRO,Information Giving ,App ,app,,,,
113,"This is the worst mapping app I have ever dealt with. Layers don't work 
correctly. Zoom out and you can see stuff, zoom in and the screen goes 
white. Won't let me download an area for off line use.",BackCountry Navigator TOPO GPS PRO,Problem Discovery,Feature or Funtionality,Layers,App ,app,,
114,"Great app that I use almost every day at work as a ranger and in my 
recreational time. Works well in both New Zealand and Canada. Absolutely 
worth the money; little bit of a learning curve if you're new to GPS and 
mapping. Just wish it had a triangulation feature (where one could take 
bearings from different locations to triangulate the position of something) 
maybe could be added to next version or as an add on?",BackCountry Navigator TOPO GPS PRO,Feature Request,Improvement, triangulation feature,,,,
115,Great. Bought in the sale for 6.99. Can download OS Maps for UK and view offline.,BackCountry Navigator TOPO GPS PRO,Information Giving ,Download,download,Model ,OS Maps for UK,,
116,"Currently not loading maps in any way on 2018 Samsung J7, nor recording 
tracks.",BackCountry Navigator TOPO GPS PRO,Problem Discovery,Model ,Samsung J7,Feature or Funtionality,loading maps,,
117,"App seems to work ok. I have used it boating. I'd say not the most 
intuitive app to use, takes some learning.",BackCountry Navigator TOPO GPS PRO,Information Giving ,GUI,intuitive,App ,app,,
118,Works great for hunting!!!!,BackCountry Navigator TOPO GPS PRO,Information Giving ,Contents ,for hunting,,,,
119,It's the only thing I need to bring when I go off trail into the wilderness.,BackCountry Navigator TOPO GPS PRO,Information Giving ,,,,,,
120,"Really liked this app. Purchased Pro version and bought bunch of maps. 
Moved to a new phone and can't install it. The new phone is identical to 
previous one (Pixel 2). The app is marked as 'Purchased' in the store. When 
I press 'Install' it pops up 'Buy' window (?!). If I try to buy, I get: 
""Error: You already own this item"". :-(",BackCountry Navigator TOPO GPS PRO,Problem Discovery,App ,app,Model ,Pixel 2,,
121,"DO NOT use this app. You will lose all of your data when you get a new 
phone or lose your current one. 4 different times I've lost years of data 
stored on the app because they make transferring data impossibly difficult. 
I'm finished for good this time.",BackCountry Navigator TOPO GPS PRO,Problem Discovery,Feature or Funtionality,data  stored,,,,
122,"Downloaded maps disappear after updates. Nothing worse than arriving at a 
remote locaton to discover your downloaded maps are missing.",BackCountry Navigator TOPO GPS PRO,Problem Discovery,Download,downloaded,Updates/Versions,updates,,
123,"Works but it's too complicated, too many options. Why can't I just open a 
gpx file and have an offline version rest for my trips? Also why put a 
button to cancel a recording (with no confirmation) right next to buttons 
that you use all the time during a hike?",BackCountry Navigator TOPO GPS PRO,Problem Discovery,GUI,complicated,,,,
124,"Fantastic way to get UK is maps for a reasonable price . Since the Nasty UK 
government sold our tax paid OS data to private companies.",BackCountry Navigator TOPO GPS PRO,Information Giving ,Security ,OS data,,,,
125,"Used this app while off-roading/ backpacking in the Sierra Nevada mountains 
and Santa Cruz mountains.",BackCountry Navigator TOPO GPS PRO,Other,App ,app,,,,
126,"In the past I would have recommended this app to anyone who does any 
walking/cycling however recently the developer has added spam 
notifications. Instant uninstall.",BackCountry Navigator TOPO GPS PRO,Information Giving,Updates/Versions,added,,,,
127,"App started putting spam into notifications, even when not in use. However, 
GPS logging and OS maps is nice. Used to be better before spam....",BackCountry Navigator TOPO GPS PRO,Information Giving,Updates/Versions, Used to,,,,
128,"Will not load UK map, identifying own location brings up a marker on a 
blank screen, demo version and XE version works fine. This is terrible and 
a waste of money to have as an unusable app on my phone.",BackCountry Navigator TOPO GPS PRO,Problem Discovery,Feature or Funtionality, load map,,,,
129,"Great app. Reliable and easy to use. I've used this hundreds of times on 
remote wilderness runs. It's saved me so much time and effort. It's 
probably saved my life a few times.",BackCountry Navigator TOPO GPS PRO,Other,App ,app,,,,
130,will not update / why do I need it? worked good untill today.,Boating USA,Information Giving ,Updates/Versions,update,,,,
131,"This is the second time this developer has discontinued one app so they can charge you for another app that does the same thing. No thanks! I can do without any of your apps. Just read the ""new"" app description and reviews. Doesn't sounds like it's free to me, like your comment says. This is another bait and switch, just like the last time the developer came up with a ""new"" app and discontinued the old one.",Boating USA,Information Giving,Company ,developer,,,,
132,When I purchased this app 4 years ago it was a one time purchase and you were supposed to have it for life. Now your discontinuing it and we have to pay more! That's BS! I think the better business bureau should be notified about the shady s#*t going on here.,Boating USA,Information Giving,Pricing,purchase,Updates/Versions,discontinuing,,
133,I just wish some of the small lakes were charted,Boating USA,Feature Request,Feature or Funtionality, charted ,,,,
134,Marking and accessing waypoints is way too cumbersome. Having a waypoint button would be very helpful,Boating USA,Feature Request,GUI,button,,,,
135,I like managing the app not the app managing me,Boating USA,Other,App ,app,,,,
136,A must have for all boaters,Boating USA,Other,App ,have,,,,
137,Be better if the water depth was accurate,Boating USA,Feature Request,Feature or Funtionality,water depth,,,,
138,It is tough to use at first but once you learn it it is great.,Boating USA,Other,App ,it,,,,
