,review_text,,,,,大类,小类1,关键词,小类2,关键词,
224,Using this app is fun but is many times it stops on my phone (Moto G5s) and I close the app. So what should I do to solve this problem?,,,,,,,,,,
225,"Everytime I post a picture on my story, it ends up looking so pixelated even if the picture is of good quality!",,,,,,,,,,
226,dont like new update how do i get the old one back on andriod,,,,,,,,,,
227,its a fun app and you post share and text pretty much anyone,,,,,,,,,,
228,poor india right then have some poor star rating #lovemycountry,,,,,,,,,,
229,I got to talk to all of my friends and just have fun,,,,,,,,,,
230,giphy not working on my phone galaxy J7 prime,,,,,,,,,,
231,love this great graphics.,,,,,,,,,,
232,It is a great app but it is very slow and will close on you very often when it is not needed,,,,,,,,,,
233,Have a a new apgrade,,,,,,,,,,
234,Well pravo. .it's great.,,,,,,,,,,
235,ANDROIDLERE DE BOOMERANG YAPMA VE ?K?L? F?LTRE KOYMA GELMEL?!!!!!!,,,,,,,,,,
236,illy snap your da best<3??,,,,,,,,,,
237,all is that this app is awesome????.,,,,,,,,,,
238,It's a good app but it would be better if i was able to check snap even if im in a call and snap keeps glitching and messing up on me so.,,,,,,,,,,
239,totally time wastage junk app ??,,,,,,,,,,
240,Where is the last update,,,,,,,,,,
241,I just opened snap to the camera and if I put it horizontal it goes vertical,,,,,,,,,,
242,it hangs on my mob vivo y81,,,,,,,,,,
243,its worse app i ever used,,,,,,,,,,
244,my account doesn't update,,,,,,,,,,
245,how to get gray eyes in dog's filter.. please answer,,,,,,,,,,
246,It's super good! and I love it because I looove texting,,,,,,,,,,
247,it is very fun you can chat with your friends and take cute selfies,,,,,,,,,,
248,The app is too complicated,,,,,,,,,,
249,I download it on any device I hold,,,,,,,,,,
250,i am getting display flickering issue with this latest update.,,,,,,,,,,
251,sir mere se ab updet nhi ho rha hai,,,,,,,,,,
252,"I'm tired of all the changes and continuously getting new bugs after every update. In the app where it shows a number of how many notifications I have, I clear all the notifications by clicking on them and then I constantly get the same notification again and again numerous times throughout the day. It becomes so monotonous that it gets very frustrating. Other than that, everything else seems to be working. Knock on wood!",,,,,,,,,,
253,"Great. I've met and learned, (a non-ending experience) so much. I'm 4 ever thankful to Mr. Zuckerberg, staff, & the many wonderful people I wish I had health back & another lifetime 2 c dreams come true.",,,,,,,,,,
254,very. good app I feel very nice,,,,,,,,,,
255,Updated app is not working properly,,,,,,,,,,
256,Why you not send me my phone,,,,,,,,,,
257,Good thought ...for made a fb app,,,,,,,,,,
258,im trying to delete my facebook app in it wont let me,,,,,,,,,,
259,lts all about what u so?ial about and if u didnt have to sign i.n it would be a lot bettr,,,,,,,,,,
260,Good and it helps me to remind and enjoyed with my friends and relatives,,,,,,,,,,
261,"with how many updates it gets, it still terrible",,,,,,,,,,
262,best is sad videos and its really sad,,,,,,,,,,
263,"Why can I only see 3 post one the groups, then it is hanging and do go any further. Not good at all, never had this problem before",,,,,,,,,,
264,"terrible, locked out of my account of 10 years. very disappointed. thanks so much for nothing Facebook.",,,,,,,,,,
265,dear Facebook marching u messenger app in Facebook so easy us to Facebook,,,,,,,,,,
266,"The ""Most Recent"" option does NOT show posts in order. I see posts from yesterday and hours ago before I ever see posts from minutes ago. Why can't I see what I want to see in order, rather than what the app ""thinks"" I want to see?",,,,,,,,,,
267,205 mb for internal memory. what's app much better,,,,,,,,,,
268,only OK. .... ?????,,,,,,,,,,
269,don't update .... its stupid,,,,,,,,,,
270,I think FB is a bunch of bull. I don't need to know about your religon or politilics. Keep it at home.,,,,,,,,,,
271,everything freezes. especially marketplace,,,,,,,,,,
272,old people took over.,,,,,,,,,,
273,This site is only good for trash talk and trash hookups,,,,,,,,,,
274,this is a very good app to interact the people,,,,,,,,,,
275,"Born on 2.8.1947 having educational back ground BA (Honours) Economics ,MA (LSW & HINDI ) , LLB and being a qualified person to Bihar Factory welfare officers' Exam as conducted by Bihar Govt. I am Sr Advocate practising in Company affairs,Civil matters, Taxation and service matters related to public and private sector employees .I am Chief Executive of ""Prasad Legal & consultant Services"" at Patna for providing legal services to the needy clients hailing from different parts of Bihar.HC & SC",,,,,,,,,,
276,"It's a love, hate relationship.",,,,,,,,,,
277,"every time I select hide ads and select the reson, then select done, then select hide all ads from this source, the facebook app locks up and I can't do anything. fix please",,,,,,,,,,
278,Am happy because of facebook,,,,,,,,,,
279,"Again the newest update has let me down..... When I open the app, it says that I have 56 new notifications. The funny thing is that I was just on it and opened all of them. Close it and open it again and it will say that I have even more new notifications. I have searched for another update and have even Uninstalled it and reinstalled it, with no luck.",,,,,,,,,,
280,this is so fake. it does not allow you to give less than one star. difficult to use because of all the ads.,,,,,,,,,,
281,There are way too many irrelevant Ads even after I manage my ad preferences. Facebook has been freezing a lot too.,,,,,,,,,,
282,Facebook asked me to send picture to confirm my identity? WTF. Why do I have to keep doing this? Using email to vertification isnt enough? so stupid,,,,,,,,,,
283,"u are alll stupid,fools and crazy",,,,,,,,,,
284,This app ls great to use to interact with both family and friends,,,,,,,,,,
285,The constant updates causes problems with my phone.,,,,,,,,,,
286,very nice app loved it,,,,,,,,,,
287,its not installing in my phone why?,,,,,,,,,,
288,"market place keeps,coming and going",,,,,,,,,,
289,I love it and thank to Facebook creater,,,,,,,,,,
290,this app are better for ever facebook lite but this faceboor are not joined messenger,,,,,,,,,,
291,Anyone can share our pictures on their feed without our permission.. please make some settings regarding this issue and increase more privacy,,,,,,,,,,
292,"I'm Facing Some Bugs And Minor Issue Some Time App isn't working, some Times lag problem. Fix It Soon...",,,,,,,,,,
293,i cant see how many friends in list,,,,,,,,,,
294,Plz make an arrangement to rate zero star for this app,,,,,,,,,,
295,good and friendly to use,,,,,,,,,,
296,"sucks lately, CONSTANTLY CRASHES?",,,,,,,,,,
297,love staying in touch with friends and family,,,,,,,,,,
298,the best app my face in this book=Facebook,,,,,,,,,,
299,never room on your phone for this app,,,,,,,,,,
300,"what to describe about Facebook , everyone knows it.",,,,,,,,,,
301,"Since the last update, this app has been crashing, freezing, and erasing my comments as I write them (someone else comments on a post, and my comment erases itself because the app is trying to refresh the page). Super annoying.",,,,,,,,,,
302,"please i need help, from someone..i have uninstalled all my apps just to get Facebook.. but it's not working..i don't know why..",,,,,,,,,,
303,"what I most dislike about facebook besides they steal user data is the app always randomly refresh itself.. Imagine you discover great content on random facebook page, then you want to follow the page but being interfered by facebook random refresh out from no where.. then the worst part is you forgot about the page name, and then you feel bad about yourself, and then you start finding solution for the problem, and you start it at this comment section.. It surely suck using facebook nowadays",,,,,,,,,,
304,Keeps going out of face book on me,,,,,,,,,,
305,it is not much perfect to use..,,,,,,,,,,
306,this version crashes way too much on note 9.,,,,,,,,,,
307,hi I love you RItu,,,,,,,,,,
308,"I have been using the app for years now, it used to crash a lot, but they fixed that. Now it has connection issues, i have full bars and if I go to read comments it says I have no internet. Really annoying.",,,,,,,,,,
309,it is full of angry emotional children that just hate on others all day long. the worlds filth uses this app.,,,,,,,,,,
310,I love being able to connect with my friends family and old classmates,,,,,,,,,,
311,They sell our personal data.only Few Money World's Top Beggar and Froad App..I Hate It.. Worst App don't install it.,,,,,,,,,,
312,Easy to connect to friends,,,,,,,,,,
313,sinse update it is really slow and if iam looking on a selling page it will go to ads down and freezes. when is the next update to correct it,,,,,,,,,,
314,it helps to connect with my friends,,,,,,,,,,
315,Hi As an end user this i can say this app is very user friendly and easy to use but as an software testing engineer i must say thwre are so many visible defects are there which was not properly tested. so try to improve this.,,,,,,,,,,
316,one of my favorite safe sites to surf,,,,,,,,,,
317,I love Facebook Twitter Instagram YouTube Pinterest and Twitter pages,,,,,,,,,,
318,"dont like the ask for details button for the ads section. hit it by accident and then are engaged and only wanted to read the ad, which is difficult because half of it is covered with options",,,,,,,,,,
319,update monthly is good for user.,,,,,,,,,,
320,It is great and easy to use,,,,,,,,,,
321,It's best about social..,,,,,,,,,,
322,it's amazing app ?,,,,,,,,,,
323,Very good app. Only there should be faster speed for uploading photos and videos.,,,,,,,,,,
324,i got a j4+ and videos are laggy please fix,,,,,,,,,,
325,"app messed up with update, can not scan back in groups ,, pos",,,,,,,,,,
